Sat, 02 May 2020 21:09:15 GMT | INFO | loggers.log | Serving is running on PORT 8081 | 
Sat, 02 May 2020 21:09:37 GMT | INFO | loggers.log |  admin has logged in | 
Sat, 02 May 2020 21:09:37 GMT | INFO | loggers.log | Verified User has valid token | 
Sat, 02 May 2020 21:09:37 GMT | ERROR | loggers.log | unAuthorized User | 
Sat, 02 May 2020 21:12:06 GMT | INFO | loggers.log | Connected to mongodb | 
Sat, 02 May 2020 21:12:06 GMT | INFO | loggers.log | Connected to mongodb | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log |  admin has logged in | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log |  admin has logged in | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | User admin communicated with the server | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | User admin communicated with the server | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | User admin communicated with the server | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | admin created a new event | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log |  test has logged in | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | User admin communicated with the server | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | User admin communicated with the server | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Connected to mongodb | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | admin sent test a friend request | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log |  admin has logged in | 
Sat, 02 May 2020 21:12:07 GMT | ERROR | loggers.log | unAuthorized User | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log |  admin has logged in | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log |  admin has logged in | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | User admin communicated with the server | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | User admin communicated with the server | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | User admin communicated with the server | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | User admin communicated with the server | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log |  admin has logged in | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | User admin communicated with the server | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | admin joined a group called Sinatra | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | User admin communicated with the server | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Current User is permitted access to this route | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | User admin communicated with the server | 
Sat, 02 May 2020 21:12:07 GMT | INFO | loggers.log | Current User is permitted access to this route | 
